z,cq,R2_m,R2_se,Epi_m,Epi_se,SR_m,SR_se,SRvar_m,SRvar_se,beta_norm2_m,beta_norm2_se
1.0,1.5,-0.22065411649887223,0.0,-0.0047024881949906585,0.0,-0.008989529805787865,0.0,-0.008985396986327566,0.0,0.25147398450641817,0.0
1.0,2.0,-0.23400244327749986,0.0,-0.0030329997150406866,0.0,-0.005573569180841936,0.0,-0.005570868228479886,0.0,0.2614125833667818,0.0
1.0,3.0,-0.2225324471842356,0.0,-0.009041955328450117,0.0,-0.017754237603305394,0.0,-0.017748155708863348,0.0,0.24216709512336934,0.0
1.0,5.0,-0.14412418336282706,0.0,0.010381233157355627,0.0,0.02304372123055348,0.0,0.02303831412344016,0.0,0.18592662812534916,0.0
1.0,7.0,-0.09031961308910019,0.0,0.021369250622871774,0.0,0.051332728005413324,0.0,0.05137478741063387,0.0,0.14634147102639766,0.0
1.0,10.0,-0.06500931415512667,0.0,0.01888659448550374,0.0,0.052041627245405994,0.0,0.05208618105352491,0.0,0.10805149422756864,0.0
2.0,0.5,-0.07978985527073612,0.0,-0.0140583857705659,0.0,-0.049144635872619774,0.0,-0.04917948233662341,0.0,0.06927554878445419,0.0
2.0,0.75,-0.09551720377184592,0.0,-0.012434583684726252,0.0,-0.03804835067216089,0.0,-0.03805687874924319,0.0,0.08885794419494958,0.0
2.0,0.9,-0.10858646862286592,0.0,-0.015083907139314835,0.0,-0.04462113035340466,0.0,-0.04464327974762912,0.0,0.09895169704476545,0.0
2.0,0.95,-0.11208982406313628,0.0,-0.015631840242601124,0.0,-0.04584892783483607,0.0,-0.04587423967727813,0.0,0.10174915509895861,0.0
2.0,0.98,-0.10849057322695721,0.0,-0.012289744347560484,0.0,-0.036072190272983015,0.0,-0.036077629465291555,0.0,0.10349668849103497,0.0
2.0,1.02,-0.10815617245319364,0.0,-0.011837117775746251,0.0,-0.03467062766297379,0.0,-0.034674134343218255,0.0,0.10453619828636632,0.0
2.0,1.05,-0.11080840023191962,0.0,-0.012280133683967107,0.0,-0.0354448498434576,0.0,-0.035449398186231114,0.0,0.10589797484773172,0.0
2.0,1.1,-0.10787502929528348,0.0,-0.009441814914303471,0.0,-0.02735590746985471,0.0,-0.027352462558890154,0.0,0.10865577520184189,0.0
2.0,1.25,-0.10587921298280234,0.0,-0.005201115043072906,0.0,-0.014518814701669833,0.0,-0.014513083208980102,0.0,0.11485222736308653,0.0
2.0,1.5,-0.10811511176039268,0.0,-0.0025859026018011876,0.0,-0.006986478862404922,0.0,-0.006983155178305456,0.0,0.12335386265598798,0.0
2.0,2.0,-0.12071305183319181,0.0,-0.0013545957876159012,0.0,-0.0034247337079664074,0.0,-0.0034230409869486214,0.0,0.1356175032360457,0.0
2.0,3.0,-0.13229801875904124,0.0,-0.006158967948353941,0.0,-0.015659317238594848,0.0,-0.015653404957966167,0.0,0.1420808956027104,0.0
2.0,5.0,-0.09915090774704671,0.0,0.007996133495072581,0.0,0.02118384182683543,0.0,0.021177999658097753,0.0,0.12915941808225953,0.0
2.0,7.0,-0.06541439503427138,0.0,0.018309092315763352,0.0,0.05029966411167738,0.0,0.050338227590738256,0.0,0.11145958943636362,0.0
2.0,10.0,-0.05131897578765554,0.0,0.01691715200865483,0.0,0.05134591316563191,0.0,0.05138801825144381,0.0,0.08919508334254754,0.0
5.0,0.5,-0.027465531854294012,0.0,-0.007335656483477737,0.0,-0.04948625366452015,0.0,-0.04952217868455442,0.0,0.018423284304288773,0.0
5.0,0.75,-0.030580919693748543,0.0,-0.005767448133583456,0.0,-0.033264805353225985,0.0,-0.03326657940623086,0.0,0.024661120148318498,0.0
5.0,0.9,-0.03428986850283344,0.0,-0.006258040658678004,0.0,-0.034427923733988036,0.0,-0.03443111680690505,0.0,0.02803033730738212,0.0
5.0,0.95,-0.036202287289224255,0.0,-0.0069365048058861786,0.0,-0.037749256656426186,0.0,-0.03775728908674713,0.0,0.028911863066865415,0.0
5.0,0.98,-0.034021655264591555,0.0,-0.005267979828474109,0.0,-0.028648423619804436,0.0,-0.028645853524972956,0.0,0.029471565035804795,0.0
5.0,1.02,-0.03406382798338914,0.0,-0.005178551260055508,0.0,-0.028063122933007015,0.0,-0.028060139263342096,0.0,0.029879425114988527,0.0
5.0,1.05,-0.035638611522395,0.0,-0.005634786210885418,0.0,-0.029996465594503724,0.0,-0.02999496119949425,0.0,0.030557540048694064,0.0
5.0,1.1,-0.03398478489502432,0.0,-0.0041694587307017205,0.0,-0.02209571029855606,0.0,-0.022090052745736746,0.0,0.03167031647576988,0.0
5.0,1.25,-0.032906424468301054,0.0,-0.0023111791547482602,0.0,-0.011675415625255743,0.0,-0.011670371909694213,0.0,0.03422689124842372,0.0
5.0,1.5,-0.033409979588507444,0.0,-0.0008093080959100982,0.0,-0.0038807068630443784,0.0,-0.0038787952314983075,0.0,0.03820269911262977,0.0
5.0,2.0,-0.039801276548984355,0.0,-0.0004817088649585628,0.0,-0.002094728310637584,0.0,-0.002093685277942155,0.0,0.04481008276912497,0.0
5.0,3.0,-0.052324957144724404,0.0,-0.003599669270451627,0.0,-0.01467933087434811,0.0,-0.014673570408940765,0.0,0.053723389683669104,0.0
5.0,5.0,-0.0447768068651051,0.0,0.0047723797112875325,0.0,0.018314403774633038,0.0,0.01830831500339161,0.0,0.06041205472702479,0.0
5.0,7.0,-0.030368236448796715,0.0,0.012791102217241161,0.0,0.047700717533432746,0.0,0.04773119492278796,0.0,0.06010722677108743,0.0
5.0,10.0,-0.027950687836813204,0.0,0.01290802070642706,0.0,0.04963226059866639,0.0,0.04966865189956307,0.0,0.05570234426039729,0.0
10.0,0.5,-0.011640922411314092,0.0,-0.004083938059659017,0.0,-0.04916474773161142,0.0,-0.049199657212296265,0.0,0.005752716041992777,0.0
10.0,0.75,-0.011847209665937664,0.0,-0.003025258010231558,0.0,-0.030661567004368822,0.0,-0.030660648298832978,0.0,0.007931546696107636,0.0
10.0,0.9,-0.012954600709492503,0.0,-0.003062616710473068,0.0,-0.029331420771461485,0.0,-0.02932937060920036,0.0,0.00915812587135431,0.0
10.0,0.95,-0.014081919915679197,0.0,-0.003571643437728377,0.0,-0.03376453708365789,0.0,-0.03376690395895229,0.0,0.0094680017239711,0.0
10.0,0.98,-0.012727647504167772,0.0,-0.0026403043028705333,0.0,-0.024916247312264644,0.0,-0.024911520050274527,0.0,0.009666144633488472,0.0
10.0,1.02,-0.012791619873129045,0.0,-0.002626834516035938,0.0,-0.02467277679163569,0.0,-0.02466794671649564,0.0,0.009829059521435812,0.0
10.0,1.05,-0.013640737817271598,0.0,-0.002941239663165229,0.0,-0.02708395060732036,0.0,-0.027080339328133717,0.0,0.010111434843830626,0.0
10.0,1.1,-0.012601379048640782,0.0,-0.002134748704964446,0.0,-0.019481168408092383,0.0,-0.019475121297534474,0.0,0.010541529439332656,0.0
10.0,1.25,-0.011760326538291954,0.0,-0.0011625755801615858,0.0,-0.010051161289512714,0.0,-0.010046641949899682,0.0,0.011532258296434297,0.0
10.0,1.5,-0.011479453969182485,0.0,-0.00023726460014628548,0.0,-0.001922044560080702,0.0,-0.001921086845920796,0.0,0.013201567394309985,0.0
10.0,2.0,-0.014438246221949669,0.0,-0.0002503373405659732,0.0,-0.001802242298280919,0.0,-0.0018013438771932425,0.0,0.016131299427816367,0.0
10.0,3.0,-0.02201407317973003,0.0,-0.0023290521937333903,0.0,-0.015071354146541807,0.0,-0.015065527716820034,0.0,0.020956306044725728,0.0
10.0,5.0,-0.018673535698555233,0.0,0.0028897033176906494,0.0,0.016497514623094615,0.0,0.016491508185591832,0.0,0.026925335744713803,0.0
10.0,7.0,-0.011332713204342149,0.0,0.008496769866016678,0.0,0.044963278730328717,0.0,0.04498628878462862,0.0,0.02972081610336419,0.0
10.0,10.0,-0.012053542580350518,0.0,0.009275977628371483,0.0,0.04773531241429987,0.0,0.04776589093911853,0.0,0.03112201877524011,0.0
25.0,0.5,-0.003858843584280125,0.0,-0.0017544855214105147,0.0,-0.04878150175604585,0.0,-0.04881522070036478,0.0,0.0010737526991225078,0.0
25.0,0.75,-0.003396169994909437,0.0,-0.0012415015622511856,0.0,-0.028678556633684855,0.0,-0.028676008623895424,0.0,0.0015193320770016654,0.0
25.0,0.9,-0.0035178936234687708,0.0,-0.0011829615620914844,0.0,-0.02561038993097108,0.0,-0.02560598029024052,0.0,0.0017797665016474288,0.0
25.0,0.95,-0.004021209684404337,0.0,-0.0014474847319276272,0.0,-0.03086520659808489,0.0,-0.030864475328437165,0.0,0.0018441837881114198,0.0
25.0,0.98,-0.003382300485416323,0.0,-0.0010435017531056855,0.0,-0.0221885097403113,0.0,-0.022182874029557337,0.0,0.0018856129821133857,0.0
25.0,1.02,-0.003413085511607683,0.0,-0.0010489328365865683,0.0,-0.02217216366527368,0.0,-0.02216652406561273,0.0,0.0019229799631402225,0.0
25.0,1.05,-0.003745815915229267,0.0,-0.0012034637898670243,0.0,-0.02489454683068744,0.0,-0.024889810225567445,0.0,0.001988187322057026,0.0
25.0,1.1,-0.00323804256488458,0.0,-0.0008609401207069143,0.0,-0.01758828907402675,0.0,-0.017582212450564943,0.0,0.0020830250992783833,0.0
25.0,1.25,-0.0027359230964212333,0.0,-0.00045906244856215085,0.0,-0.008840115726108646,0.0,-0.00883603982728036,0.0,0.0023011266047489147,0.0
25.0,1.5,-0.0022918883610849594,0.0,-1.5710310530731463e-05,0.0,-0.00028008968841377593,0.0,-0.00027994961952190067,0.0,0.0026957559618559987,0.0
25.0,2.0,-0.003158845487943429,0.0,-0.00011157438254298069,0.0,-0.0017346491718913243,0.0,-0.00173378423885283,0.0,0.003420568387707299,0.0
25.0,3.0,-0.006132618469210538,0.0,-0.0011823251542307672,0.0,-0.015897767612551843,0.0,-0.015891825109549704,0.0,0.004780416530495287,0.0
25.0,5.0,-0.0038041474507868323,0.0,0.0013503109377024194,0.0,0.015061228579012233,0.0,0.015055403766435231,0.0,0.006965518547081341,0.0
25.0,7.0,-0.0002663672792400096,0.0,0.004217509674775467,0.0,0.04148277136855773,0.0,0.04149774525031045,0.0,0.008571085095925178,0.0
25.0,10.0,-0.0006239771961371599,0.0,0.005049825358265335,0.0,0.04511080312876785,0.0,0.04513418916184639,0.0,0.0103180222724885,0.0
50.0,0.5,-0.0017596718808279288,0.0,-0.0008996677941007623,0.0,-0.04861212806527887,0.0,-0.048645327754376334,0.0,0.00028382895443575164,0.0
50.0,0.75,-0.0014060309575221197,0.0,-0.0006254554520535248,0.0,-0.027926131763942055,0.0,-0.027923055489591952,0.0,0.0004059351226015386,0.0
50.0,0.9,-0.0013921665143590278,0.0,-0.0005810524758790482,0.0,-0.024231805093482658,0.0,-0.024226799955648144,0.0,0.00047842376180348635,0.0
50.0,0.95,-0.0016530929757689883,0.0,-0.0007259761952948926,0.0,-0.029791112618933403,0.0,-0.029789435487993152,0.0,0.0004962456363535962,0.0
50.0,0.98,-0.0013127139892223916,0.0,-0.0005177810892993328,0.0,-0.021177942281281642,0.0,-0.02117209909274288,0.0,0.0005077361342004812,0.0
50.0,1.02,-0.0013274514536034676,0.0,-0.0005227133199627609,0.0,-0.021241414602283674,0.0,-0.0212355825019217,0.0,0.0005184690317266107,0.0
50.0,1.05,-0.00148836622732329,0.0,-0.0006057774019652236,0.0,-0.024071800718584085,0.0,-0.02406673557222588,0.0,0.0005371578666345419,0.0
50.0,1.1,-0.0012126629495361474,0.0,-0.00043101921116456347,0.0,-0.016892332080703523,0.0,-0.016886293233304664,0.0,0.000563919735979672,0.0
50.0,1.25,-0.0009185690531987589,0.0,-0.00022766967020951812,0.0,-0.008393660162247423,0.0,-0.008389757831671125,0.0,0.000625388468098613,0.0
50.0,1.5,-0.0006033245404819532,0.0,1.1191525808966319e-05,0.0,0.0003800105876759663,0.0,0.00037982056228161955,0.0,0.0007399692304502347,0.0
50.0,2.0,-0.0009292093185313544,0.0,-5.927430662510302e-05,0.0,-0.001740473817778108,0.0,-0.0017396059980531262,0.0,0.0009546162663437543,0.0
50.0,3.0,-0.0023008324409374836,0.0,-0.0006546802352430198,0.0,-0.016346256663910923,0.0,-0.016340264697359965,0.0,0.0013778890277719434,0.0
50.0,5.0,-0.0006346779184003282,0.0,0.0007226088593336224,0.0,0.014544685334329463,0.0,0.01453894909587495,0.0,0.002127567533673236,0.0
50.0,7.0,0.0014896943866999912,0.0,0.002287875098316107,0.0,0.03960401639745659,0.0,0.03961528948544156,0.0,0.002763333405787875,0.0
50.0,10.0,0.0016932489269253503,0.0,0.0028764410042674683,0.0,0.04358314671353541,0.0,0.04360278091139341,0.0,0.0035813457451429943,0.0
100.0,0.5,-0.0008330861469763029,0.0,-0.00045568682388987826,0.0,-0.048518414721102354,0.0,-0.04855132891820971,0.0,7.303204018178504e-05,0.0
100.0,0.75,-0.0006216925156048436,0.0,-0.00031383081152190075,0.0,-0.027530128247042887,0.0,-0.027526793105012735,0.0,0.00010506347719118267,0.0
100.0,0.9,-0.0005932986180730015,0.0,-0.000287511156756871,0.0,-0.023513357239397445,0.0,-0.023508097073092874,0.0,0.00012424113778373004,0.0
100.0,0.95,-0.0007260610613077922,0.0,-0.0003634325890405895,0.0,-0.029231082581970488,0.0,-0.02922895348369881,0.0,0.0001289436328352677,0.0
100.0,0.98,-0.0005500364638260091,0.0,-0.00025767487912105633,0.0,-0.02065137706115397,0.0,-0.020645451689058937,0.0,0.00013197980018651807,0.0
100.0,1.02,-0.0005569813368613286,0.0,-0.0002607440364739419,0.0,-0.02075557623836407,0.0,-0.020749665751137007,0.0,0.00013486832563641926,0.0
100.0,1.05,-0.0006354365754783764,0.0,-0.0003038451025215776,0.0,-0.02364080847783348,0.0,-0.02363559086210358,0.0,0.00013988742299453783,0.0
100.0,1.1,-0.0004912484633485814,0.0,-0.00021557774755466989,0.0,-0.01653111346907067,0.0,-0.016525103970504478,0.0,0.00014701896625115,0.0
100.0,1.25,-0.00033130142811832464,0.0,-0.00011328033055911949,0.0,-0.00816257341101475,0.0,-0.008158762907419763,0.0,0.0001633868694290045,0.0
100.0,1.5,-0.000144703213434072,0.0,1.1123082032371417e-05,0.0,0.0007360166536348121,0.0,0.0007356487525179449,0.0,0.00019439980381994961,0.0
100.0,2.0,-0.0002718742440575017,0.0,-3.073174385423397e-05,0.0,-0.0017501735173805102,0.0,-0.001749300890890978,0.0,0.0002531516884520515,0.0
100.0,3.0,-0.0009091939435967866,0.0,-0.00034640179865605056,0.0,-0.016614260983546146,0.0,-0.016608244150713564,0.0,0.00037217211412928137,0.0
100.0,5.0,0.00011792421565959277,0.0,0.00037586387435940117,0.0,0.014290907413789862,0.0,0.014285218982697462,0.0,0.0005945008150273076,0.0
100.0,7.0,0.0013342142253947031,0.0,0.0011935388053509806,0.0,0.038431848210748853,0.0,0.03844102680264353,0.0,0.0007980482835887185,0.0
100.0,10.0,0.001660937803788065,0.0,0.001547181676463604,0.0,0.04258803068432416,0.0,0.04260538643275684,0.0,0.0010837657528515953,0.0
